Type of Event,Event Details,Link,Closing Date,Closing Time,Event Start Date,Event End Date
"Gandhi Shilp Bazar National, States, District",GSB (State) at Kullu,https://indian.handicrafts.gov.in/en/events/events-apply/NTgx,2025-11-10,23:45:00,2026-02-27,2026-03-08
"Gandhi Shilp Bazar National, States, District",GSB (State) at Udaipur,https://indian.handicrafts.gov.in/en/events/events-apply/NTc3,2025-10-31,23:45:00,2026-02-15,2026-02-24
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bareilly UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTc5,2025-10-31,23:45:00,2026-02-01,2026-02-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Shimla,https://indian.handicrafts.gov.in/en/events/events-apply/NTgw,2025-10-31,23:45:00,2026-02-10,2026-02-16
"Gandhi Shilp Bazar National, States, District",GSB (District) at Puri UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTc4,2025-10-31,23:30:00,2026-02-06,2026-02-12
"Gandhi Shilp Bazar National, States, District",GSB (State) at Bokaro,https://indian.handicrafts.gov.in/en/events/events-apply/NTYx,2025-10-10,23:45:00,2026-01-25,2026-02-03
"Gandhi Shilp Bazar National, States, District",GSB (State) at Cuttack,https://indian.handicrafts.gov.in/en/events/events-apply/NDQy,2025-10-10,23:45:00,2026-01-26,2026-02-04
"Gandhi Shilp Bazar National, States, District",GSB (District) at Purnia,https://indian.handicrafts.gov.in/en/events/events-apply/NTg2,2025-10-10,23:45:00,2025-11-15,2025-11-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gangtok,https://indian.handicrafts.gov.in/en/events/events-apply/NTYw,2025-10-10,23:45:00,2026-01-18,2026-01-24
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jammu UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTU5,2025-10-10,23:45:00,2026-01-15,2026-01-21
"Gandhi Shilp Bazar National, States, District",GSB (National) at Bengaluru,https://indian.handicrafts.gov.in/en/events/events-apply/NTcz,2025-09-30,23:45:00,2025-12-19,2025-12-28
"Gandhi Shilp Bazar National, States, District",GSB (District) at Karnal UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTU4,2025-09-30,23:45:00,2026-01-09,2026-01-15
"Gandhi Shilp Bazar National, States, District",GSB (State) at Nadia,https://indian.handicrafts.gov.in/en/events/events-apply/NTU0,2025-09-30,23:45:00,2026-01-02,2026-01-11
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhubaneshwar UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTUz,2025-09-30,23:45:00,2026-01-01,2026-01-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mokokchung,https://indian.handicrafts.gov.in/en/events/events-apply/NTgz,2025-09-30,23:45:00,2025-11-11,2025-11-17
"Gandhi Shilp Bazar National, States, District",GSB (District) at Ajmer UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTU2,2025-09-30,23:45:00,2026-01-06,2026-01-12
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kanyakumari UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTU1,2025-09-30,23:45:00,2026-01-05,2026-01-11
"Gandhi Shilp Bazar National, States, District",GSB (District) at Tirupati UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTU3,2025-09-30,23:45:00,2026-01-09,2026-01-15
"Gandhi Shilp Bazar National, States, District",GSB (State) at Itanagar,https://indian.handicrafts.gov.in/en/events/events-apply/NTg1,2025-09-25,23:45:00,2025-10-09,2025-10-18
"Gandhi Shilp Bazar National, States, District",GSB (National) at Mumbai,https://indian.handicrafts.gov.in/en/events/events-apply/NTcx,2025-09-20,23:45:00,2025-12-05,2025-12-14
Dilli Haat,"Master Creations 2 - Padma Awardee, Shilp Guru and National Awardee",https://indian.handicrafts.gov.in/en/events/events-apply/NTY3,2025-09-20,23:45:00,2025-12-01,2025-12-15
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mon,https://indian.handicrafts.gov.in/en/events/events-apply/NTQ5,2025-09-20,23:45:00,2025-12-07,2025-12-13
"Gandhi Shilp Bazar National, States, District",GSB (National) at Patna,https://indian.handicrafts.gov.in/en/events/events-apply/NTM4,2025-09-15,23:45:00,2025-12-22,2025-12-31
"Gandhi Shilp Bazar National, States, District",GSB (District) at Deoghar,https://indian.handicrafts.gov.in/en/events/events-apply/NTQw,2025-09-15,23:45:00,2025-12-21,2025-12-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Durgapur UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTM5,2025-09-15,23:45:00,2025-12-23,2025-12-29
"Gandhi Shilp Bazar National, States, District",GSB (District) at Rampur UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTQx,2025-09-15,23:45:00,2025-12-25,2025-12-31
"Gandhi Shilp Bazar National, States, District",GSB (State) at Jaisalmer,https://indian.handicrafts.gov.in/en/events/events-apply/NTQz,2025-09-15,23:45:00,2025-12-26,2026-01-04
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mangaluru UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTQy,2025-09-15,23:45:00,2025-12-24,2025-12-30
"Gandhi Shilp Bazar National, States, District",GSB (District) at Agra UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTcy,2025-09-15,23:45:00,2025-11-17,2025-11-23
"Gandhi Shilp Bazar National, States, District",GSB (District) at Shantiniketan UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTMx,2025-09-10,23:45:00,2025-12-15,2025-12-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Guntur UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTM1,2025-09-10,23:45:00,2025-12-19,2025-12-25
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gwalior,https://indian.handicrafts.gov.in/en/events/events-apply/NTI5,2025-09-10,23:45:00,2025-12-12,2025-12-18
"Gandhi Shilp Bazar National, States, District",GSB (District) at Aurangabad,https://indian.handicrafts.gov.in/en/events/events-apply/NTMy,2025-09-10,23:45:00,2025-12-16,2025-12-22
"Gandhi Shilp Bazar National, States, District",GSB (State) at Pune,https://indian.handicrafts.gov.in/en/events/events-apply/NTMz,2025-09-10,23:45:00,2025-12-18,2025-12-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Rajamundry,https://indian.handicrafts.gov.in/en/events/events-apply/NTMw,2025-09-10,23:45:00,2025-12-15,2025-12-21
"Gandhi Shilp Bazar National, States, District",GSB (State) at Cochin,https://indian.handicrafts.gov.in/en/events/events-apply/NTM2,2025-09-10,23:45:00,2025-12-20,2025-12-29
"Gandhi Shilp Bazar National, States, District",GSB (State) at Kolkata,https://indian.handicrafts.gov.in/en/events/events-apply/NTg0,2025-09-10,23:45:00,2025-09-15,2025-09-24
"Gandhi Shilp Bazar National, States, District",GSB (National) at Chennai,https://indian.handicrafts.gov.in/en/events/events-apply/NTM0,2025-09-10,23:45:00,2025-12-19,2025-12-28
"Gandhi Shilp Bazar National, States, District",GSB (District) at Shantiniketan UH,https://indian.handicrafts.gov.in/en/events/events-apply/NTMx,2025-09-10,23:45:00,2025-12-15,2025-12-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhuj UH,https://indian.handicrafts.gov.in/en/events/view/NTIw,2025-09-05,23:45:00,2025-12-01,2025-12-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Agra UH,https://indian.handicrafts.gov.in/en/events/view/NTE3,2025-09-05,23:45:00,2025-12-01,2025-12-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Navi Mumbai UH,https://indian.handicrafts.gov.in/en/events/view/NTQ3,2025-09-05,23:45:00,2025-12-06,2025-12-12
"Gandhi Shilp Bazar National, States, District",GSB (State) at Bhilai,https://indian.handicrafts.gov.in/en/events/view/NTY5,2025-09-05,23:45:00,2025-12-05,2025-12-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Hazaribagh UH,https://indian.handicrafts.gov.in/en/events/view/NTIz,2025-09-05,23:45:00,2025-12-10,2025-12-16
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jodhpur UH,https://indian.handicrafts.gov.in/en/events/view/NTIy,2025-09-05,23:45:00,2025-12-04,2025-12-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Imphal UH,https://indian.handicrafts.gov.in/en/events/view/NTI4,2025-09-05,23:45:00,2025-12-08,2025-12-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jaipur UH,https://indian.handicrafts.gov.in/en/events/view/NTIx,2025-09-05,23:45:00,2025-12-03,2025-12-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Konark UH,https://indian.handicrafts.gov.in/en/events/view/NTE5,2025-09-05,23:45:00,2025-12-01,2025-12-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Pudducherry,https://indian.handicrafts.gov.in/en/events/view/NTUy,2025-09-05,23:45:00,2025-12-05,2025-12-11
"Gandhi Shilp Bazar National, States, District",GSB (State) at Ujjain,https://indian.handicrafts.gov.in/en/events/view/NTQ0,2025-09-05,23:45:00,2025-12-05,2025-12-14
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kohima,https://indian.handicrafts.gov.in/en/events/view/NTI3,2025-09-05,23:45:00,2025-12-02,2025-12-08
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kolhapur,https://indian.handicrafts.gov.in/en/events/view/NTE1,2025-08-31,23:45:00,2025-11-21,2025-11-27
"Gandhi Shilp Bazar National, States, District",Gandhi Shilp Bazaar,https://indian.handicrafts.gov.in/en/events/view/NTc2,2025-08-31,23:45:00,2025-09-20,2025-09-29
"Gandhi Shilp Bazar National, States, District",GSB (District) at Varanasi UH,https://indian.handicrafts.gov.in/en/events/view/NTE4,2025-08-31,23:45:00,2025-10-14,2025-10-20
"Gandhi Shilp Bazar National, States, District",GSB (State) at Nashik,https://indian.handicrafts.gov.in/en/events/view/NTEy,2025-08-31,23:45:00,2025-11-20,2025-11-29
"Gandhi Shilp Bazar National, States, District",GSB (District) at Katra,https://indian.handicrafts.gov.in/en/events/view/NTE0,2025-08-31,23:45:00,2025-11-21,2025-11-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Navi Mumbai UH,https://indian.handicrafts.gov.in/en/events/view/NTcw,2025-08-31,23:45:00,2025-11-07,2025-11-13
"Gandhi Shilp Bazar National, States, District",GSB (District) at Indore UH,https://indian.handicrafts.gov.in/en/events/view/NTE2,2025-08-31,23:45:00,2025-11-23,2025-11-29
"Gandhi Shilp Bazar National, States, District",GSB (District) at Konark UH,https://indian.handicrafts.gov.in/en/events/view/NTQ4,2025-08-30,23:45:00,2025-11-21,2025-11-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Ajmer UH,https://indian.handicrafts.gov.in/en/events/view/NTA4,2025-08-25,23:45:00,2025-11-12,2025-11-18
"Gandhi Shilp Bazar National, States, District",GSB (State) at Karnal,https://indian.handicrafts.gov.in/en/events/view/NTI2,2025-08-25,23:45:00,2025-11-14,2025-11-23
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gorakhpur,https://indian.handicrafts.gov.in/en/events/view/NTEw,2025-08-25,23:45:00,2025-11-15,2025-11-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jhansi UH,https://indian.handicrafts.gov.in/en/events/view/NTEx,2025-08-25,23:45:00,2025-11-15,2025-11-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Ajmer UH,https://indian.handicrafts.gov.in/en/events/view/NTA4,2025-08-25,23:45:00,2025-11-12,2025-11-18
"Gandhi Shilp Bazar National, States, District",GSB (District) at Janpath,https://indian.handicrafts.gov.in/en/events/view/NTUw,2025-08-25,23:45:00,2025-11-17,2025-11-23
"Gandhi Shilp Bazar National, States, District",GSB (District) at Ahmedabad UH,https://indian.handicrafts.gov.in/en/events/view/NTY4,2025-08-25,11:45:00,2025-11-12,2025-11-18
Dilli Haat,Master Creations 1 - NMC & State Awardee,https://indian.handicrafts.gov.in/en/events/view/NTY2,2025-08-20,23:45:00,2025-10-16,2025-10-31
"Gandhi Shilp Bazar National, States, District",GSB (State) at Srinagar,https://indian.handicrafts.gov.in/en/events/view/NDMx,2025-08-20,23:45:00,2025-10-01,2025-10-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mandi,https://indian.handicrafts.gov.in/en/events/view/NTAx,2025-08-20,23:45:00,2025-11-03,2025-11-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhopal UH,https://indian.handicrafts.gov.in/en/events/view/NTA0,2025-08-20,23:45:00,2025-11-05,2025-11-11
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kakinada UH,https://indian.handicrafts.gov.in/en/events/view/NTAz,2025-08-20,23:45:00,2025-11-03,2025-11-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Cherapunji,https://indian.handicrafts.gov.in/en/events/view/NDk5,2025-08-20,23:45:00,2025-11-01,2025-11-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhuj UH,https://indian.handicrafts.gov.in/en/events/view/NTAw,2025-08-20,23:45:00,2025-11-01,2025-11-07
"Gandhi Shilp Bazar National, States, District",GSB (National) at Varanasi,https://indian.handicrafts.gov.in/en/events/view/NDk3,2025-08-20,23:45:00,2025-11-01,2025-11-10
"Gandhi Shilp Bazar National, States, District",GSB (State) at Kanpur,https://indian.handicrafts.gov.in/en/events/view/NDk2,2025-08-20,23:45:00,2025-11-01,2025-11-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Tirupati UH,https://indian.handicrafts.gov.in/en/events/view/NTAy,2025-08-20,23:45:00,2025-11-03,2025-11-09
"Gandhi Shilp Bazar National, States, District",GSB (National) at Ahmedabad,https://indian.handicrafts.gov.in/en/events/view/NTc1,2025-08-20,23:45:00,2025-09-12,2025-09-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhubaneshwar UH,https://indian.handicrafts.gov.in/en/events/view/NDk4,2025-08-20,23:45:00,2025-11-01,2025-11-07
"Gandhi Shilp Bazar National, States, District",GSB (State) at Prayagraj,https://indian.handicrafts.gov.in/en/events/view/NTA2,2025-08-20,23:45:00,2025-11-08,2025-11-17
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gaya,https://indian.handicrafts.gov.in/en/events/view/NTA1,2025-08-20,23:45:00,2025-11-07,2025-11-13
"Gandhi Shilp Bazar National, States, District",GSB (State) at Surat,https://indian.handicrafts.gov.in/en/events/view/NTY1,2025-08-20,23:45:00,2025-11-01,2025-11-10
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jagdalpur,https://indian.handicrafts.gov.in/en/events/view/NTYz,2025-08-15,23:45:00,2025-09-30,2025-10-06
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kokrajhar,https://indian.handicrafts.gov.in/en/events/view/NDkw,2025-08-15,23:45:00,2025-10-19,2025-10-25
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jaipur UH,https://indian.handicrafts.gov.in/en/events/view/NDkx,2025-08-15,23:45:00,2025-10-21,2025-10-27
"Gandhi Shilp Bazar National, States, District",GSB (District) at Madgaon,https://indian.handicrafts.gov.in/en/events/view/NDkz,2025-08-15,23:45:00,2025-10-26,2025-11-01
"Gandhi Shilp Bazar National, States, District",GSB (State) at Banglore (Bengaluru),https://indian.handicrafts.gov.in/en/events/view/NTI1,2025-08-15,23:45:00,2025-10-24,2025-11-02
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bhopal UH,https://indian.handicrafts.gov.in/en/events/view/NTc0,2025-08-15,23:45:00,2025-09-01,2025-09-07
"Gandhi Shilp Bazar National, States, District",GSB (District) at Durg,https://indian.handicrafts.gov.in/en/events/view/NDky,2025-08-15,23:45:00,2025-10-22,2025-10-28
"Gandhi Shilp Bazar National, States, District",GSB (District) at Kolkata UH,https://indian.handicrafts.gov.in/en/events/view/NDg5,2025-08-15,23:45:00,2025-10-17,2025-10-23
"Gandhi Shilp Bazar National, States, District",GSB (State) at Trivendrum,https://indian.handicrafts.gov.in/en/events/view/NDk0,2025-08-15,23:45:00,2025-10-27,2025-11-05
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jammu UH,https://indian.handicrafts.gov.in/en/events/view/NDgx,2025-08-10,23:45:00,2025-10-11,2025-10-17
"Gandhi Shilp Bazar National, States, District",GSB (District) at Dhanbad,https://indian.handicrafts.gov.in/en/events/view/NDgy,2025-08-10,23:45:00,2025-10-12,2025-10-18
"Gandhi Shilp Bazar National, States, District",GSB (District) at Haldwani,https://indian.handicrafts.gov.in/en/events/view/NDg3,2025-08-10,23:45:00,2025-10-15,2025-10-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Agartala UH,https://indian.handicrafts.gov.in/en/events/view/NDgw,2025-08-10,23:45:00,2025-10-11,2025-10-17
"Gandhi Shilp Bazar National, States, District",GSB (District) at Imphal,https://indian.handicrafts.gov.in/en/events/view/NDg1,2025-08-10,23:45:00,2025-10-14,2025-10-20
"Gandhi Shilp Bazar National, States, District",GSB (District) at Srinagar UH,https://indian.handicrafts.gov.in/en/events/view/NDg4,2025-08-10,23:45:00,2025-10-15,2025-10-21
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mathura,https://indian.handicrafts.gov.in/en/events/view/NDg0,2025-08-10,23:45:00,2025-10-13,2025-10-19
"Gandhi Shilp Bazar National, States, District",GSB (District) at Mangaluru UH,https://indian.handicrafts.gov.in/en/events/view/NDg2,2025-08-10,23:45:00,2025-10-15,2025-10-21
"Gandhi Shilp Bazar National, States, District",GSB (State) at Vijayawada,https://indian.handicrafts.gov.in/en/events/view/NDc5,2025-08-10,23:45:00,2025-10-10,2025-10-19
"Gandhi Shilp Bazar National, States, District",GSB (State) at Amritsar,https://indian.handicrafts.gov.in/en/events/view/NDc4,2025-08-10,23:45:00,2025-10-10,2025-10-19
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bareilly UH,https://indian.handicrafts.gov.in/en/events/view/NDgz,2025-08-10,23:45:00,2025-10-13,2025-10-19
"Gandhi Shilp Bazar National, States, District",GSB (National) at Hyderabad,https://indian.handicrafts.gov.in/en/events/view/NDY5,2025-07-31,23:45:00,2025-10-03,2025-10-12
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jodhpur UH,https://indian.handicrafts.gov.in/en/events/view/NDcz,2025-07-31,23:45:00,2025-10-03,2025-10-09
"Gandhi Shilp Bazar National, States, District",GSB (District) at Varanasi UH,https://indian.handicrafts.gov.in/en/events/view/NTEz,2025-07-31,23:45:00,2025-10-05,2025-10-11
"Gandhi Shilp Bazar National, States, District",GSB (National) at Lucknow,https://indian.handicrafts.gov.in/en/events/view/NDc3,2025-07-31,23:45:00,2025-10-08,2025-10-17
